IYR,IMO,RAILROAD,INCDTNO,IYR2,IMO2,RR2,INCDTNO2,IYR3,IMO3,RR3,INCDTNO3,DUMMY1,GXID,YEAR,MONTH,DAY,TIMEHR,TIMEMIN,AMPM,TYPE,CARS,CARSDMG,CARSHZD,EVACUATE,DIVISION,STATION,MILEPOST,STATE,TEMP,VISIBLTY,WEATHER,TRNSPD,TYPSPD,TRNNBR,TRNDIR,TONS,TYPEQ,EQATT,TRKNAME,TRKCLAS,TRKDNSTY,TYPTRK,RRCAR1,CARNBR1,POSITON1,LOADED1,RRCAR2,CARNBR2,POSITON2,LOADED2,HEADEND1,MIDMAN1,MIDREM1,RMAN1,RREM1,HEADEND2,MIDMAN2,MIDREM2,RMAN2,RREM2,LOADF1,LOADP1,EMPTYF1,EMPTYP1,CABOOSE1,LOADF2,LOADP2,EMPTYF2,EMPTYP2,CABOOSE2,EQPDMG,TRKDMG,CAUSE,CAUSE2,CASKLDRR,CASINJRR,CASKLD,CASINJ,ACCAUSE,ACCTRK,ACCTRKCL,HIGHSPD,ACCDMG,DUMMY2,STCNTY,TOTINJ,DUMMY3,TOTKLD,ENGRS,FIREMEN,CONDUCTR,BRAKEMEN,ENGHR,ENGMIN,CDTRHR,CDTRMIN,JOINTCD,REGION,DUMMY4,TYPRR,DUMMY5,RRDIV,METHOD,NARRLEN,DUMMY6,YEAR4,RREMPKLD,RREMPINJ,PASSKLD,PASSINJ,OTHERKLD,OTHERINJ,COUNTY,CNTYCD,ALCOHOL,DRUG,DUMMY7,PASSTRN,SSB1,SSB2,NARR1,NARR2,NARR3,NARR4,NARR5,NARR6,NARR7,NARR8,NARR9,NARR10,NARR11,NARR12,NARR13,NARR14,NARR15,RCL,Latitude,Longitud,SIGNAL,MOPERA,ADJUNCT1,ADJUNCT2,ADJUNCT3,SUBDIV,,,,,,,,,,,,
20,1,UP,0120GP014,,,,,20,1,FVFZ,INDUSTRY,,,20,1,1,10,35,AM,12,0,0,0,0,,CHAPPELL,380.45,31,30,2,5,0,E,,,145,6,N,YARD 848,1,,4,CITX,700359,1,N,,,0,,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,424,0,H302,,0,0,0,0,H302,4,1,2,12499,,31C049,0,0,0,0,0,0,0,,,,,1,6,,1,,,,247,,2020,0,0,0,0,0,0,DEUEL,49,,,,N,OTH,000-000-000,LFA50-01 WAS SWITCHING AT INDUSTRY NEAR MILE POST 380 OF THE SIDNEY SUBDIVISION IN CHAPPELL, NE WHEN,TWO RAILCARS WERE LEFT PARTIALLY IN THE FOUL OF AN ADJACENT TRACK AT THE SWITCH CAUSING A SIDESWIPE,WITH THE GRAB IRONS.  INDUSTRY MAINTAINS TRACK,,,,,,,,,,,,,0,41.092.944,-102.475.969,2,5,,,,SIDNEY SUB,,,,,,,,,,,
20,1,UP,0120GP014,,,,,20,1,FVFZ,INDUSTRY,,,20,1,1,10,35,AM,12,0,0,0,0,,CHAPPELL,380.45,31,30,2,5,2,E,LFA5,3,3653,1,Y,YARD 848,1,,4,UP,93561,10,Y,,,0,,3,0,0,0,0,0,0,0,0,0,20,0,29,0,0,0,0,0,0,0,12075,0,H302,,0,0,0,0,H302,4,1,2,12499,,31C049,0,0,0,1,0,1,1,3,35,3,35,3,6,,1,,,,247,,2020,0,0,0,0,0,0,DEUEL,49,,,,N,OTH,000-000-000,LFA50-01 WAS SWITCHING AT INDUSTRY NEAR MILE POST 380 OF THE SIDNEY SUBDIVISION IN CHAPPELL, NE WHEN,TWO RAILCARS WERE LEFT PARTIALLY IN THE FOUL OF AN ADJACENT TRACK AT THE SWITCH CAUSING A SIDESWIPE,WITH THE GRAB IRONS.  INDUSTRY MAINTAINS TRACK,,,,,,,,,,,,,0,41.092.944,-102.475.969,2,5,,,,SIDNEY SUB,,,,,,,,,,,
20,2,UP,0220GL009,,,,,20,2,UP,0220GL009,,,20,2,5,4,45,PM,01,7,0,0,0,,COLUMBUS,84.76,31,30,2,2,6,R,MCBG,4,14333,1,Y,YARD 001,2,,2,CMO,20404,55,N,,,0,,4,1,0,0,0,0,0,0,0,0,82,0,119,0,0,0,0,2,0,0,10668,4260,T319,,0,0,0,0,T319,2,2,6,14928,,31C141,0,0,0,1,0,2,0,7,45,7,45,1,6,,1,,,,570,,2020,0,0,0,0,0,0,PLATTE,141,,,,N,CWR,000-000-000,MCBGI-05 WAS LINED INTO TRACK FIVE IN COLUMBUS YARD.  CREW DROPPED OFF BRAKEMEN ON EAST END OF TRACK,SO THE BRAKEMEN COULD CLEAR UP FIVE BEFORE MAKING A CUT TO YARD THEIR TRAIN.  AS TRAIN WAS PULLING,INTO FIVE, BRAKEMEN NOTICED CARS WERE NOT ON THE RAIL AND INSTRUCTED THE ENGINEER TO STOP.  THE ENGI,NEER APPLIED A FULL SERVICE SET TO STOP THE TRAIN.  THE 55TH AND 56TH CAR FROM THE HEAD END,CMO2040,4 AND CRYX5959,DERAILED AND ROLLED THE INSIDE RAIL OF FIVE.  THE CAR APPEARED TO PICK THE #5 SWITCH,.  WHEELS OF CARS HAVE BEEN INSPECTED AND CONCLUDED TO BE TO STANDARD.,,,,,,,,,,0,41.427.572,-97.363.903,2,5,,,,COLUMBUS SUB,,,,,,,,,
20,3,BNSF,HL0320117,,,,,20,3,BNSF,HL0320117,,,20,3,27,5,29,PM,01,0,0,0,0,,LINCOLN,02. Apr,31,54,3,1,0,R,YLIN,3,221,7,Y,752,1,0,2,BNSF,1818,1,,,,0,,2,0,0,0,0,2,0,0,0,0,0,0,6,0,0,0,0,0,0,0,64936,0,H599,T102,0,0,0,0,H599,2,1,4,281931,,31C109,0,0,0,0,0,1,1,,,1,31,1,6,,1,,,,346,,2020,0,0,0,0,0,0,LANCASTER,109,,,,N,OTH,000-000-000,RCO Y-LIN2052-27 DERAILED 5 RAILCARS WHILE SHOVING YARD TRACK 752.  THE DERAILED RAILCARS IN TURN IM,PACTED RAILCARS ON RCO Y-LIN9232-27 STANDING IN ADJACENT TRACK.  NO HAZARDOUS MATERIALS WERE RELEASE,D. CAUSED BY RAPID THROTTLE MANIPULATION DUE TO RCL LOGIC ATTEMPTING TO ACHIEVE DESIRED SPEED SELECT,ED BY THE OPERATOR AND A TRACK WARP CONDITION.,,,,,,,,,,,,3,40.808.033,-96.739.127,2,5,K,,,CRESTON,,,,,,,,,,,,
20,3,BNSF,HL0320105,,,,,20,3,BNSF,HL0320105,,,20,3,5,6,0,AM,01,0,0,0,0,,LINCOLN,02. Aug,31,42,1,1,5,E,YLIN,3,5687,7,Y,827,1,0,2,TILX,199832,30,N,,,0,,2,0,0,0,0,0,0,0,0,0,37,0,49,0,0,0,0,1,0,0,12778,55000,H316,,0,0,0,0,H316,2,1,5,67778,,31C109,0,0,0,0,0,1,2,,,7,,1,6,,1,,,,195,,2020,0,0,0,0,0,0,LANCASTER,109,,,,N,OTH,000-000-000,RCO Y-LIN3022-04 DERAILED 1 RAILCAR DURING HUMP OPERATIONS IN YARD TRACK 827 DUE TO MANUAL INTERVENT,ION OF CLASSIFICATION AUTOMATIC SYSTEM MODES BY OPERATOR.  NO HAZARDOUS MATERIALS WERE RELEASED,,,,,,,,,,,,,,3,40.807.784,-96.750.612,2,5,K,,,CRESTON,,,,,,,,,,,,
20,3,BNSF,HL0320114,,,,,20,3,BNSF,HL0320114,,,20,3,21,5,8,PM,01,0,0,0,0,,LINCOLN,02. Sep,31,33,3,1,9,E,YLIN,3,817,7,Y,813,1,0,2,IARX,72047,3,N,,,0,,2,0,0,0,0,0,0,0,0,0,5,0,4,0,0,0,0,1,0,0,155,40632,H312,H309,0,0,0,0,H312,2,1,9,40787,,31C109,0,0,0,0,0,1,1,,,2,8,1,6,,1,,,,180,,2020,0,0,0,0,0,0,LANCASTER,109,,,,N,OTH,000-000-000,RCO Y-LIN2022-21 DERAILED 1 RAILCAR DURING SWITCHING OPERATIONS IN YARD TRACK 652 DUE TO PASSED COUP,LERS OTHER THAT AUTOMATED CLASSIFICATION.  NO HAZARDOUS MATERIALS WERE RELEASED.,,,,,,,,,,,,,,3,40.808.287,-96.753.151,2,5,K,,,CRESTON,,,,,,,,,,,,
20,1,UP,0120ME015,,,,,20,1,UP,0120ME015,,,20,1,20,6,15,AM,12,0,0,0,0,,NORTH PLATTE,286.98,31,10,1,1,5,E,,3,0,8,N,YARD 008,X,,2,UP,7726,2,,,,0,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19217,0,H017,,0,0,0,0,H017,2,X,5,19217,,31C111,0,0,0,0,0,0,0,,,,,3,6,,1,,,,255,,2020,0,0,0,0,0,0,LINCOLN,111,,,,N,OTH,000-000-000,UP1644 MADE JOINT WITH UP7726.  AFTER JOINT WAS MADE, IT WAS NOT STRETCHED.  UNITS MOVED EAST AND UP,1644 AND UP7726 CAME UNCOUPLED.  THEN UP7726 STRUCK UP1644,CAUSING DAMAGE TO REAR COUPLER AND #6 TR,ACTION MOTOR OF UP7726.  NO DERAILMENT OR TRACK DAMAGE.,,,,,,,,,,,,,0,4.115.145,-100.812.906,2,5,,,,NORTH PLATTE TERMINA,,,,,,,,,,
20,1,UP,0120ME015,,,,,20,1,UP,0120ME015,,,20,1,20,6,15,AM,12,0,0,0,0,,NORTH PLATTE,286.98,31,10,1,1,5,E,UP16,3,0,8,Y,YARD 008,X,,2,UP,1644,1,,,,0,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,H017,,0,0,0,0,H017,2,X,5,19217,,31C111,0,0,0,2,0,0,0,7,15,,,1,6,,1,,,,255,,2020,0,0,0,0,0,0,LINCOLN,111,,,,N,OTH,000-000-000,UP1644 MADE JOINT WITH UP7726.  AFTER JOINT WAS MADE, IT WAS NOT STRETCHED.  UNITS MOVED EAST AND UP,1644 AND UP7726 CAME UNCOUPLED.  THEN UP7726 STRUCK UP1644,CAUSING DAMAGE TO REAR COUPLER AND #6 TR,ACTION MOTOR OF UP7726.  NO DERAILMENT OR TRACK DAMAGE.,,,,,,,,,,,,,0,4.115.145,-100.812.906,2,5,,,,NORTH PLATTE TERMINA,,,,,,,,,,
20,3,CSX,188911,,,,,20,3,CSX,188911,,,20,3,5,7,21,PM,12,0,0,0,0,,ROCKY MOUNT,0121.0,37,54,4,3,3,E,,1,0,6,N,A25,1,0000.0,2,LW,62158,1,Y,,,0,,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,1,0,0,0,0,1086,100,H020,,0,0,0,0,H020,2,1,3,18733,,37C065,0,0,0,0,0,0,0,,,,,3,3,,1,,,,249,,2020,0,0,0,0,0,0,EDGECOMBE,65,0,0,,N,CWR,000-000-000,Y29005 WAS SHOVING A CUT OF CARS INTO TRACK A25 WHEN THE CARS IN A23 ROLLED OUT AND SIDESWIPED THE C,UT BEING SHOVED. UPON FURTHER INVESTIGATION IT WAS DISCOVERED THAT THE CUT OF CARS ON THE NORTH END,OF A23 ONLY HAD 2 HANDBRAKES SECURING THE 7 CARS.,,,,,,,,,,,,,0,35.918.853,-77.804.447,2,5,,,,SOUTH END,,,,,,,,,,,,
20,1,CMR,1152020,,,,,20,1,CMR,1152020,,,20,1,15,3,55,PM,01,0,0,0,0,,MARYLAND HEIGHTS,22,29,50,2,2,10,R,HLCX,3,0,1,Y,MAIN,X,,1,WSSX,2246,25,Y,,,0,,2,0,0,0,0,0,0,0,0,0,31,0,0,0,0,7,0,0,0,0,32500,7320,T101,T110,0,0,0,0,T101,1,X,10,39820,,29C189,0,0,0,1,0,1,0,11,,11,,1,6,,3,,,,330,,2020,0,0,0,0,0,0,ST LOUIS,189,,,,N,CWR,000-000-000,CREW WAS TRAVELING SOUTHBOUND CARRYING 31 CARS.  WHILE APPROACHING THE CROSSING, ENGINEER NOTICED TH,E TRAIN STARTED SLOWING DOWN.  PULLED THE THROTTLE AND TRAIN STILL SLOWED.  LOOKED OUT THE WINDOW AN,D SAW CLOUJD OF DUST AND IMEDIATELY STOPPED.  TOTAL OF 7 CARS WERE DERAILED (6=EMPTY  1=LOADED).  RE,PORTING A TOTAL OF $39,800.00.,,,,,,,,,,,,0,38.691.661,-90.500.631,2,4,,,,MARYLAND HEIGHTS,,,,,,,,,,
20,1,BNSF,HL0120103,,,,,20,1,BNSF,HL0120103,,,20,1,7,9,50,AM,01,0,0,0,0,,SPRINGFIELD,239.4,29,45,2,1,5,R,YSPM,3,0,8,Y,3182,1,,2,BNSF,1628,1,,,,0,,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15000,500,M505,,0,0,0,0,M505,2,1,5,15500,,29C077,0,0,0,0,0,1,1,,,3,20,1,6,,1,,,,164,,2020,0,0,0,0,0,0,GREENE,77,,,,N,OTH,000-000-000,Y-SPM1212-07 DERAILED 2 LOCOMOTIVES WHILE OPERATING LIGHT LOCOMOTIVES IN YARD TRACK 3182. NO HAZARDO,US MATERIALS WERE RELEASED. CAUSE IS UNDER ACTIVE INVESTIGATION.,,,,,,,,,,,,,,3,37.213.843,-93.306.974,2,5,K,,,CUBA,,,,,,,,,,,,
20,4,KCT,UP042020,20,4,UP,0420HL015,20,4,KCT,UP042020,,,20,4,20,12,50,PM,09,0,0,0,0,,KANSAS CITY,Mai 45,29,52,2,2,0,,,3,0,,,MAIN 4,3,75.5,1,,,0,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M404,,0,0,0,0,M404,1,3,10,30660,,29C095,0,0,0,,,,,,,,,1,6,,3,,,,626,,2020,0,0,0,0,0,0,JACKSON,95,,,,,CWR,000-000-000,TRAIN WAS TRAVELLING EASTBOUND ON MAIN 4 BETWEEN GRAND AVE AND CLEVELAND AVE.  WHILE PASSING MP 5.45,,THE SLOPE ON THE SOUTHSIDE OF MAIN 4 GAVE WAY AND ROCK (BOULDER) FELL OFF WALL ONTO TRAIN.  AS THE,TRAIN CONTINUED EAST,A BNSF EASTBOUND TRAIN WHILE PASSING IT AROUND MP 2.0 NOTIFIED THEM OF A BOUL,DER ON TOP OF ONE OF THEIR CARS APPROXIMATELY 25 CARS FROM THE REAR.  TRAIN GSCOCC-19 BROUGHT TRAIN,TO STO PAT MP 2.0 TO INSPECT.  LOCATED BOULDER ON TOP OF CAR UP 90109.  CRANEMASTERS WAS NOTIFIED TO,RMEOVE BOLUDER.  UPRR REPORTING APPROXIMATELY $30,660 IN EQUIPMENT DAMAGE.  NO TRACK/SIGNAL DAMAGE,ON KCT.  NO CARS DERAILED.,,,,,,,,,,39.088.298,-94.561.152,1,1,Q,,,KC TERMINAL KCT,,,,,,,,,
