IYR,IMO,RAILROAD,INCDTNO,IYR2,IMO2,RR2,INCDTNO2,IYR3,IMO3,RR3,INCDTNO3,DUMMY1,GXID,YEAR,MONTH,DAY,TIMEHR,TIMEMIN,AMPM,TYPE,CARS,CARSDMG,CARSHZD,EVACUATE,DIVISION,STATION,MILEPOST,STATE,TEMP,VISIBLTY,WEATHER,TRNSPD,TYPSPD,TRNNBR,TRNDIR,TONS,TYPEQ,EQATT,TRKNAME,TRKCLAS,TRKDNSTY,TYPTRK,RRCAR1,CARNBR1,POSITON1,LOADED1,RRCAR2,CARNBR2,POSITON2,LOADED2,HEADEND1,MIDMAN1,MIDREM1,RMAN1,RREM1,HEADEND2,MIDMAN2,MIDREM2,RMAN2,RREM2,LOADF1,LOADP1,EMPTYF1,EMPTYP1,CABOOSE1,LOADF2,LOADP2,EMPTYF2,EMPTYP2,CABOOSE2,EQPDMG,TRKDMG,CAUSE,CAUSE2,CASKLDRR,CASINJRR,CASKLD,CASINJ,ACCAUSE,ACCTRK,ACCTRKCL,HIGHSPD,ACCDMG,DUMMY2,STCNTY,TOTINJ,DUMMY3,TOTKLD,ENGRS,FIREMEN,CONDUCTR,BRAKEMEN,ENGHR,ENGMIN,CDTRHR,CDTRMIN,JOINTCD,REGION,DUMMY4,TYPRR,DUMMY5,RRDIV,METHOD,NARRLEN,DUMMY6,YEAR4,RREMPKLD,RREMPINJ,PASSKLD,PASSINJ,OTHERKLD,OTHERINJ,COUNTY,CNTYCD,ALCOHOL,DRUG,DUMMY7,PASSTRN,SSB1,SSB2,NARR1,NARR2,NARR3,NARR4,NARR5,NARR6,NARR7,NARR8,NARR9,NARR10,NARR11,NARR12,NARR13,NARR14,NARR15,RCL,Latitude,Longitud,SIGNAL,MOPERA,ADJUNCT1,ADJUNCT2,ADJUNCT3,SUBDIV,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,1,EIRR,190130008,19,1,EIRR,190130008,19,1,EIRR,190130008,,,19,1,30,1,0,PM,01,0,0,0,0,,REXBURG,27. Feb,16,25,2,6,25,R,EAST,1,0,8,Y,MAIN - 100,2,,1,WAMX,3508,1,Y,,,0,,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36000,0,M101,T402,0,0,0,0,M101,1,2,25,36000,,16C065,0,0,0,1,0,1,0,5,,5,,1,8,,3,,,,403,,2019,0,0,0,0,0,0,MADISON,65,0,0,,N,OTH,000-000-000,AT APPROXIMATELY 13:00 ON 1/30/2019,THE EAST BELT CREW WAS TRAVELLING NEAR MP 27.5 ON THE EAST BELT,SUBDIVISION WHEN THEY ENCOUNTERED DEEP SNOW DRIFTS ACROSS THE MAIN LINE.  THE CREW CUT AWAY FROM TH,EIR TRAIN TO PROCEED AHEAD TO CLEAR A PATH THROUGH THE DRIFTS WHEN THEY DERAILED ON A PRIVATE CROSSI,NG NEAR MP 27.23.  AFTER COMING TO A STOP THE LOCOMOTIVE PROCEEDED TO ROLL OVER ON THE ENGINEER'S SI,DE.,,,,,,,,,,,0,43.765.296,-111.719.194,2,2,P,,,EAST BELT,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,3,UP,0319GL066,,,,,19,3,UP,0319GL066,,,19,3,21,4,45,PM,12,0,0,0,0,,MELROSE PARK,13. Mai,17,48,2,2,0,E,,,47,5,N,YARD 006,1,,2,ARMN,933921,1,N,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,14832,0,M411,,0,0,0,0,M411,2,1,2,21419,,17C031,0,0,0,0,0,0,0,,,,,1,4,,1,,,,312,,2019,0,0,0,0,0,0,COOK,31,,,,N,OTH,000-000-000,YPR20R-21 DERAILED 2 RAILCARS IN BOWL TRACK 6.  CGCX20382 SUSTAINED DAMAGE TO THE B-END CROSSOVER, I,T WAS BENT DUE TO HARD IMPACT FROM ARMN933921.  ARMN933921 HAD A -END MINOR DERAIL AND COMPLETE DEST,RUCTION OF SLIDING SILL.  WEPX3668 - A/B MINOR DERAIL.   THE B-END COUPLER IS BROKEN TO INCLUDE END,SILL DAMAGE.,,,,,,,,,,,,0,41.897.901,-87.898.267,2,5,,,,PROVISO YARD,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,4,BNSF,CH0419112,19,4,ATK,158340,19,4,BNSF,CH0419112,,,19,4,4,5,0,PM,11,0,0,0,0,,MENDOTA,82.1,17,45,2,3,0,,,,0,,,MAIN 1 TRACK,3,29.78,1,,,0,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M406,,0,0,0,0,M406,1,3,19,13939,,17C099,0,0,0,0,0,0,0,,,,,2,4,,1,,,,124,,2019,0,0,0,0,0,0,LA SALLE,99,,,,,CWR,,AMTRAK REPORTED THAT THEY HAD A TRACK MOTOR FIRE ON THE LEAD LOCOMOTIVE.  LOCAL FIRE PERSONAL WERE D,ISPATCHED TO EXTINGUISH.,,,,,,,,,,,,,,,41.556.826,-89.106.669,1,1,J,,,MENDOTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,5,UP,0519PR003,,,,,19,5,UP,0519PR003,,,19,5,23,7,20,PM,01,0,0,0,0,,MELROSE PARK,14.0,17,72,3,1,10,E,MPRW,4,7271,1,Y,YARD 001,1,,2,CN,625795,143,N,,,0,,3,0,0,0,0,0,0,0,0,0,35,0,105,0,0,0,0,2,0,0,12212,33,H508,,0,0,0,0,H508,2,1,10,12245,,17C031,0,0,0,1,0,1,0,2,5,2,5,1,4,,1,,,,95,,2019,0,0,0,0,0,0,COOK,31,,,,N,CWR,000-000-000,MPRWN-23 DERAILED CN625795 AND CNIS623242 WHILE PULLING WEST AND RERAILED ONCE IT HIT THE FROG.,,,,,,,,,,,,,,,0,41.900.031,-87.907.553,2,5,K,,,PROVISO YARD,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,5,UP,0519PR004,,,,,19,5,UP,0519PR004,,,19,5,24,5,0,PM,01,0,0,0,0,,MELROSE PARK,13. Mai,17,69,2,2,4,R,YPR2,2,9279,7,Y,YARD 027,1,,2,NOKL,736704,60,N,NOKL,736704,60,N,2,0,0,0,0,0,0,0,0,0,51,0,50,0,0,2,0,5,0,0,218790,71927,E64C,T314,0,0,0,0,E64C,2,1,4,296199,,17C031,0,0,0,1,0,0,0,2,,,,1,4,,1,,,,163,,2019,0,0,0,0,0,0,COOK,31,0,0,,N,CWR,000-000-000,THE YPR26R-24 JOB WAS SHOVING SOUTH WITH 2 LOCOMOTIVES AND 101 CARS FROM TRACK 27 TOWARDS THE HUMP W,HEN 6 CARS DERAILED,CAUSING DAMAGE TO 2 MORE CARS IN TRACK 28.,,,,,,,,,,,,,,1,41.897.181,-87.898.433,2,5,,,,PROVISO YARD,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,5,UP,0519PR004,,,,,19,5,UP,0519PR004,,,19,5,24,5,0,PM,01,0,0,0,0,,MELROSE PARK,13. Mai,17,69,2,2,0,E,,,95,6,N,YARD 027,1,,2,SHPX,43959,1,N,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5482,0,E64C,T314,0,0,0,0,E64C,2,1,4,296199,,17C031,0,0,0,0,0,0,0,,,,,3,4,,1,,,,163,,2019,0,0,0,0,0,0,COOK,31,0,0,,N,CWR,000-000-000,THE YPR26R-24 JOB WAS SHOVING SOUTH WITH 2 LOCOMOTIVES AND 101 CARS FROM TRACK 27 TOWARDS THE HUMP W,HEN 6 CARS DERAILED,CAUSING DAMAGE TO 2 MORE CARS IN TRACK 28.,,,,,,,,,,,,,,0,41.897.181,-87.898.433,2,5,,,,PROVISO YARD,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,1,GRW,1,,,,,19,1,GRW,1,,,19,1,4,10,59,PM,01,0,0,0,0,,GARY,,18,36,4,1,5,E,HMRC,1,1300,7,Y,#14 BFC LOAD TRACK,1,,4,IL,171,1,Y,,,0,,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,25516,15123,T111,,0,0,0,0,T111,4,1,5,40639,,18C089,0,0,0,1,,,,,29,,,1,4,,3,,,,746,,2019,0,0,0,0,0,0,LAKE,89,,,,,OTH,000-000-000,AT 2259HRS THE 2230HMRCL31 ASSIGNMENT,OPERATING THE GRW 318 WITH A SINGLE RCO OPERATOR WAS IN THE P,ROCESS OF PULLING THE LOADS FROM #14BF. THE RCO HAD TIED ONTO THE IL171 AND IL 155 ON THE LOAD TRACK,AT #14BF. THE RCO WAS INSTRUCTED TO DELIVER THE LOADED LADLES TO THE QBOP.,,,,,,,,,,,,,1,41.622.944,-87.328.124,2,5,K,,,GARY,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,8,NICD,N1900017,,,,,19,8,NICD,N1900017,,,19,8,19,4,10,PM,13,0,0,0,0,,GARY,63.0,18,82,2,1,50,E,209,3,0,3,Y,MAIN,3,,1,NICD,313,3,N,,,0,,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,44773,37857,M599,,0,0,0,0,M599,1,3,50,82630,,18C089,0,0,0,1,0,1,0,3,12,3,12,1,4,,6,,,,78,,2019,0,0,0,0,0,0,LAKE,89,,,,Y,OTH,000-000-000,PANTOGRAPH GOT ABOVE THE  MID SPAN WIRE ALLOWING IT TO GET INTO THE CANTENARY.,,,,,,,,,,,,,,,0,41.605.515,-87.397.832,1,1,,,,SYSTEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,8,KCT,UP082019,19,8,UP,0819HL029,19,8,KCT,UP082019,,,19,8,20,4,45,PM,01,0,0,0,0,,KANSAS CITY,Aug 39,20,95,2,1,0,,,3,0,,,MAIN 3,1,20. Mai,1,,,0,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3900,H525,,0,0,0,0,H525,1,4,38,11752,,20C209,0,0,0,0,0,0,0,,,,,2,6,,3,,,,508,,2019,0,0,0,0,0,0,WYANDOTTE,209,,,,,OTH,000-000-000,CREW ON UP TRAIN MNPINP-19 USING KCT MAIN LINE AS HEAD ROOM TO SET OUT BAD ORDER IN UP ARMOURDALE YA,RD,TRAIN PULLED EAST OUT OF ARMOURDALE INBOUND TO KCT MAIN 3.  CONDUCTOR MADE CUT AND INSTRUCTED EN,GINEER TO PULL EAST TO CLEAR SWITCHES ON LEAD, ENGINEER BROUGHT TRAIN TO STOP USING INDEPENDENT BRAK,E CAUSING BUFF FORCES IN THE TRAIN CAUSING MTNR175009 TO DERAIL ON KCT MAIN LINE.  KCT MAINTAINS TRA,CK AND SIGNAL WITH DAMAGE OF $3900.  UP OWNS CONSIST WITH DAMAGE OF $7852.  #12 SUBDIVISION NAME IS,LS 1001.,,,,,,,,,,,39.079.158,-94.612.706,1,1,Q,,,LS,,,,,,,,,,,,,,,,,,,,,,,,,,
19,9,BNSF,HL0919112,,,,,19,9,BNSF,HL0919112,,,19,9,19,7,49,PM,01,35,0,0,0,,FORT SCOTT,98.4,20,83,3,1,5,R,HGAL,2,11486,1,Y,106,1,,2,PRGX,10593,147,Y,,,0,,3,0,0,0,0,0,0,0,0,0,64,0,80,0,0,2,0,5,0,0,111099,59100,H307,H702,0,0,0,0,H307,2,1,5,170199,,20C011,0,0,0,1,0,1,0,2,34,2,34,1,6,,1,,,,278,,2019,0,0,0,0,0,0,BOURBON,11,,,,N,OTH,000-000-000,H-GALTUL9-19 DERAILED 7 RAILCARS IN YARD TRACK 106. AFTER SHOVING THROUGH AN IMPROPERLY LINED SWITCH,, SUBSEQUENTLY DERAILED UPON CHANGING DIRECTIONS. CAUSE IS FAILURE TO CONTROL SHOVE MOVE IN TURN RUN,NING THROUGH AN IMPROPERLY LINED SWITCH. NO HAZARDOUS MATERIALS WERE RELEASED.,,,,,,,,,,,,,0,37.843.714,-94.698.565,2,5,K,,,FT SCOTT,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,5,UP,0519HL009,,,,,19,5,UP,0519HL009,,,19,5,7,12,36,AM,01,5,2,2,0,,BUFFALO,413.5,20,63,4,3,33,R,CSAC,1,5869,1,Y,SINGLE MAIN TRACK,4,35.9,1,UP,77442,172,Y,,,0,,1,0,0,0,2,0,0,0,0,0,17,0,164,0,0,14,0,5,0,0,717207,125394,T002,H607,0,0,0,0,T002,1,4,33,842601,,20C205,0,0,0,1,0,1,0,6,36,6,36,1,6,,1,,,,363,,2019,0,0,0,0,0,0,WILSON,205,,0,,N,CWR,000-000-000,THE CSACD9-05,LEAD LOCOMOTIVE UP7832,WAS TRAVELING NORTHBOUND NEAR MILE POST 413.5 OF THE COFFEYVI,LLE SUBDIVISION WHEN IT DERAILED 19 CARS DUE TO A WASHOUT IN FRONT OF THEM.  THE TRAIN WAS PLACED IN,TO EMERGENCY BRAKE APPLICATION. CAR# : IAPX 1121 ARGON LIQUID COMPLETE CAR RELEASE AND 199,400 LBS.,CAR#: IAPX 1105 ARGON LIQUID COMPLETE RELEASE AND 202,500 LBS.,,,,,,,,,,,,0,37.683.023,-95.721.462,1,1,Q,,,COFFEYVILLE SUB,,,,,,,,,,,,,,,,,,,,,,,,
19,9,MS,MSR171919A,,,,,19,9,MS,MSR171919A,,,19,9,4,8,0,AM,13,0,0,0,0,,NORTH MUSKEGON,0.2,26,58,2,3,0,E,,1,0,6,N,NORTH WYE,1,,3,MHLX,15199,6,N,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,12000,0,M105,,0,0,0,0,M105,3,1,0,12000,,26C121,0,0,0,0,0,0,0,,,,,1,4,,3,,,,273,,2019,0,0,0,0,0,0,MUSKEGON,121,,,,N,OTH,000-000-000,A LARGE TREE FELL ON A STATIONARY MHLX 15199 RAIL CAR DUE TO HIGH WINDS. THE TREE DAMAGED THE TOP HA,TCH AND BENT THE ROOF OF THE HOPPER CAR. THE CAR WAS INSPECTED BY A CARMEN AND HE FOUND IT TO BE IN,NEED OF REPAIRS REQUIRING TO BE HOME SHOPPED DUE TO THE AMOUNT OF DAMAGE.,,,,,,,,,,,,,0,43.300.164,-86.249.096,2,5,,,,FREMONT,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,2,ATK,157789,,,,,19,2,ATK,157789,,545476F,19,2,24,9,55,PM,07,0,0,0,0,,KALAMAZOO,0147.7,26,16,4,1,77,E,355,4,0,2,Y,SINGLE MAIN,6,1,1,AMT,27,1,,,,0,,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,28042,6927,M308,,3,0,3,0,M308,1,6,77,34969,,26C077,0,0,3,1,1,1,1,5,50,5,50,1,4,,6,,,,276,,2019,0,0,0,0,3,0,KALAMAZOO,77,,,,Y,CWR,,TRAIN 355 OPERATING WITH LOCOMOTIVE E/27 AND 5 CARS STRUCK AN OCCUPIED VEHICLE AT MP 147.70, ELEVENT,H STREET CROSSING.  THE VEHICLE DROVE AROUND THE GATES AND STOPPED ON THE CROSSING.  THERE WERE 3 CO,NFIRMED FATALITES IN THE VEHICLE.  THE INCIDENT REMAINS UNDER INVESTIGATION.,,,,,,,,,,,,,0,42.277.913,-85.658.016,1,1,Q,,,MICHIGAN,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,10,GDLK,191010005,,,,,19,10,GDLK,191010005,,,19,10,10,12,30,AM,12,0,0,0,0,,KALAMAZOO,54.6,26,45,4,1,4,E,GDLK,1,220,7,Y,GEARHEART YARD,1,,2,BNGX,80056,4,Y,,,0,,2,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,19000,0,H020,,0,0,0,0,H020,2,1,4,19000,,26C077,0,0,0,1,0,1,1,5,30,5,30,1,4,,3,,,,144,,2019,0,0,0,0,0,0,KALAMAZOO,77,,,,N,OTH,000-000-000,THE 100 CREW WENT TO PUT A CAR INTO 13 TRACK WHEN THE CARS THEY SET OUT IN 12 ROLLED OUT AND SIDE SW,IPED THE CAR THEY WE'RE SETTING OUT INTO 13.,,,,,,,,,,,,,,0,42.291.595,-85.559.633,2,5,L,,,KALAMAZOO,,,,,,,,,,,,,,,,,,,,,,,,,,,,
