"IYR","IMO","RAILROAD","INCDTNO","IYR2","IMO2","RR2","INCDTNO2","IYR3","IMO3","RR3","INCDTNO3","DUMMY1","GXID","YEAR","MONTH","DAY","TIMEHR","TIMEMIN","AMPM","TYPE","CARS","CARSDMG","CARSHZD","EVACUATE","DIVISION","STATION","MILEPOST","STATE","TEMP","VISIBLTY","WEATHER","TRNSPD","TYPSPD","TRNNBR","TRNDIR","TONS","TYPEQ","EQATT","TRKNAME","TRKCLAS","TRKDNSTY","TYPTRK","RRCAR1","CARNBR1","POSITON1","LOADED1","RRCAR2","CARNBR2","POSITON2","LOADED2","HEADEND1","MIDMAN1","MIDREM1","RMAN1","RREM1","HEADEND2","MIDMAN2","MIDREM2","RMAN2","RREM2","LOADF1","LOADP1","EMPTYF1","EMPTYP1","CABOOSE1","LOADF2","LOADP2","EMPTYF2","EMPTYP2","CABOOSE2","EQPDMG","TRKDMG","CAUSE","CAUSE2","CASKLDRR","CASINJRR","CASKLD","CASINJ","ACCAUSE","ACCTRK","ACCTRKCL","HIGHSPD","ACCDMG","DUMMY2","STCNTY","TOTINJ","DUMMY3","TOTKLD","ENGRS","FIREMEN","CONDUCTR","BRAKEMEN","ENGHR","ENGMIN","CDTRHR","CDTRMIN","JOINTCD","REGION","DUMMY4","TYPRR","DUMMY5","RRDIV","METHOD","NARRLEN","DUMMY6","YEAR4","RREMPKLD","RREMPINJ","PASSKLD","PASSINJ","OTHERKLD","OTHERINJ","COUNTY","CNTYCD","ALCOHOL","DRUG","DUMMY7","PASSTRN","SSB1","SSB2","NARR1","NARR2","NARR3","NARR4","NARR5","NARR6","NARR7","NARR8","NARR9","NARR10","NARR11","NARR12","NARR13","NARR14","NARR15","RCL","Latitude","Longitud","SIGNAL","MOPERA","ADJUNCT1","ADJUNCT2","ADJUNCT3",SUBDIV
"19","07","UP","0719GP038","","","","","19","07","UP","0719GP038","","","19","07","30","10","15","AM","01","0","0","0","0","","NORTH PLATTE","287.2","31","74","2","1","006","R","YNP1","4","0","8","Y","YARD 049","1","","2","UPY","000422","002","","","","000","","2","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","500","11860","T311","","0","0","0","0","T311","2","1","006","12360","","31C111","0","000000","0","2","0","0","0","02","45","","","1","6","","1","","","","296","","2019","0","0","0","0","0","0","LINCOLN","111","","","","N","OTH","000-000-000","YNP10R-30 WAS TAKING LIGHT POWER TO WEST BOWL 49 TO COUPLE FOR THE ANPRL-30 AND DERAILED THE LEADING","3 SETS OF TRUCKS ON THE UPY422. MARKS ON THE SWITCH POINT OF THE 49/50 SWITCH SHOWED THE WHEELS CLI","MBED UP THE SWITCH POINTS CAUSING THE DERAILMENT WHEN MAKING THE FACING POINT MOVE INTO BOWL 49.","","","","","","","","","","","","","3","41.150566","-100.817434","2","5","","","","NORTH PLATTE TERMINA",
"19","07","UP","0719GP032","","","","","19","07","UP","0719GP032","","","19","07","26","2","0","PM","01","0","0","0","0","","NORTH PLATTE","288.25","31","89","2","1","007","E","YNP8","4","1200","7","Y","YARD 136","2","","2","UPY","000314","001","","","","000","","2","0","0","0","0","2","0","0","0","0","6","0","5","0","0","0","0","0","0","0","797","256472","M409","","0","0","0","0","M409","2","2","007","257269","","31C111","0","000000","0","2","0","0","0","06","30","","","1","6","","1","","","","159","","2019","0","0","0","0","0","0","LINCOLN","111","00","00","","N","OTH","000-000-000","YNP82R-26, PULLING 11 CARS, DERAILED TWO LOCOMOTIVES AT #27 POWER SWITCH. SWITCH WAS FOUND TO BE OBS","TRUCTED BY EXTENDABLE PIN LIFTER THAT FELL OFF FREIGHT CAR.","","","","","","","","","","","","","","3","41.153033","-100.837658","2","5","L","","","NORTH PLATTE TERMINA",
"19","02","SNJX","20190225","","","","","19","02","SNJX","20190225","","","19","02","25","12","1","PM","01","0","0","0","37","","TRENTON","30.6","34","44","2","2","063","E","3504","1","0","E","Y","TRACK NO 1","4","","4","LRV","003504","001","Y","","","000","","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","80000","25000","M404","M105","0","0","0","0","M404","4","4","063","105000","","34C021","0","000000","0","1","0","0","0","06","58","","","1","1","","3","","","","664","","2019","0","0","0","0","0","0","MERCER","021","00","00","","Y","CWR","000-000-000","ON FEBRUARY 25, 2019, AT 12:01 PM, OPERATOR M. MONTERO WAS TRAVELING NORTHBOUND ON TRACK NO.  1 AT M","ILEPOST 30.6 WHEN THE LRV STRUCK A TREE THAT WAS FOULING THE TRACKS (THE TREE FELL DUE TO THE EXTREM","E WIND CONDITIONS W/45 MPH PLUS GUSTS). THE OPERATOR PUT THE TRAIN INTO EMERGENCY AND BROUGHT THE TR","AIN TO A STOP. DISPATCH WAS NOTIFIED.
AT APPROX 12:05, OPERATOR MONTERO REPORTED THAT THE TRAIN HAD","DERAILED AND SHE HAD HIT THE FUEL CUT-OFF.  
37 PASSENGERS WERE ON THE TRAIN. NO INJURIES REPORTED",".

NRC, FRA (JAMES GILLEN) AND FTA WAS NOTIFIED (NRC CASE # 1238577).
FRA REGIONAL INSPECTOR JAME","S GILLEN WAS NOTIFIED AND REPORTED TO THE SCENE AT APPROX. 14:00","","","","","","","","","0","40.182391","-74.729145","1","5","G","L","","BURLINGTON",
"19","07","UP","0719GP033","","","","","19","07","UP","0719GP033","","","19","07","28","4","13","AM","01","12","0","0","0","","NORTH PLATTE","286.8","31","70","1","1","010","E","YNP3","4","17192","7","Y","YARD 310","2","","2","CW","004054","129","N","","","000","","2","0","0","0","0","0","0","0","0","0","115","0","59","0","0","0","0","3","0","0","36400","147125","M405","","0","0","0","0","M405","2","2","010","183525","","31C111","0","000000","0","2","0","0","0","04","14","","","1","6","","1","","","","96","","2019","0","0","0","0","0","0","LINCOLN","111","","","","N","OTH","000-000-000","WHILE MAKING THEIR SECOND SHOVE IN FORWARDER 10, THE YNP37R-27 DERAILED 3 CARS ON THE 8-13 LEAD.","","","","","","","","","","","","","","","3","41.14986","-100.809822","2","5","K","","","NORTH PLATTE TERMINA",
"19","07","BNSF","PR0719102","","","","","19","07","BNSF","PR0719102","","","19","07","02","12","45","PM","01","0","0","0","0","","AURORA","77.3","31","84","2","1","010","R","RPWR","3","1562","6","Y","2300","1","","2","TILX","032474","001","N","","","000","","0","0","0","0","0","0","0","0","0","0","13","0","4","0","0","0","0","4","0","0","26710","0","H020","","0","0","0","0","H020","2","1","010","26710","","31C081","0","000000","0","1","0","1","1","04","44","04","44","1","6","","1","","","","190","","2019","0","0","0","0","0","0","HAMILTON","081","00","00","","N","OTH","000-000-000","R-PWR4311-02 HAD A CUT OF RAILCARS ROLL OUT OF YARD TRACK 2300 RESULTING IN 4 RAILCARS DERAILED DUE","TO FAILURE TO APPLY SUFFICIENT NUMBER OF HANDBRAKES. NO HAZARDOUS MATERIALS WERE RELEASED.","","","","","","","","","","","","","","0","40.862578","-98.001098","2","5","K","","","RAVENNA",
"19","07","BNSF","PR0719106","","","","","19","07","BNSF","PR0719106","","","19","07","09","3","5","AM","01","30","12","0","0","","SUPERIOR","175.4","31","70","4","3","006","E","HTUL","4","8583","1","Y","SINGLE MAIN TRACK","2","5.18","1","TILX","002730","052","Y","","","000","","2","0","0","0","0","0","0","0","0","0","61","0","22","0","0","10","0","4","0","0","950000","158000","M103","","0","0","0","0","M103","1","2","006","1108000","","31C129","0","000000","0","1","0","1","0","02","20","02","20","1","6","","1","","","","153","","2019","0","0","0","0","0","0","NUCKOLLS","129","","","","N","CWR","000-000-000","H-TULLIN1-06 DERAILED 14 RAILCARS WHILE TRAVERSING SINGLE MAIN TRACK DUE TO EXTREME ENVIRONMENTAL CO","NDITION, FLOOD. NO HAZARDOUS MATERIALS WERE RELEASED.","","","","","","","","","","","","","","0","40.037262","-98.159102","2","2","P","","","WYMORE",
"19","05","UP","0519GP037","","","","","19","05","UP","0519GP037","","","19","05","31","10","40","AM","01","0","0","0","0","","MITCHELL","160.0","31","57","2","1","013","E","LFU4","4","2663","7","Y","YARD 106","2","","2","CMO","288212","058","N","CMO","288212","058","N","2","0","0","0","0","0","0","0","0","0","124","0","0","0","0","3","0","0","0","0","31730","10992","E99C","","0","0","0","0","E99C","2","2","013","42722","","31C157","0","000000","0","1","0","1","0","04","40","04","40","1","6","","1","","","","525","","2019","0","0","0","0","0","0","SCOTTS BLUFF","157","","","","N","OTH","000-000-000","WHILE SHOVING, THE LFU40-31 DERAILED 3 CARS ON THE WEST LEAD OF THE SOUTH YARD.  THE MECHANICAL CAR","TEAM WAS REPLACING WHEELS DURING THE PURIFICATION PROCESS AT SOUTH MORRILL.  AFTER JACKING THE CMO28","8212 AND UP29250 THEY SET THE CARS BACK DOWN WITH THE FLANGE OF THE WHEELS SITTING ON THE BALL OF TH","E RAIL.  ONCE WE STARTED MOVEMENT WITH THIS TRAIN THE WHEELS FELL TO THE OUTSIDE OF THE RAIL AND ROD","E ON TOP OF THE TIES UNTIL THE DERAILED CARS REACHED THE CURVE AT THE WEST END OF THE YARD AND THE T","RAIN WENT INTO EMERGENCY.","","","","","","","","","","0","41.930669","-103.887235","2","5","","","","SOUTH MORRILL SUB",
"19","03","UP","0319GP046","","","","","19","03","UP","0319GP046","","","19","03","24","10","45","PM","01","0","0","0","0","","NORTH PLATTE","287.25","31","47","4","2","008","E","YNP3","4","250","7","Y","YARD 024","2","","2","SSW","080501","004","Y","SSW","080501","004","Y","2","0","0","0","0","0","0","0","0","0","2","0","0","0","0","1","0","0","0","0","11658","4058","E42C","","0","0","0","0","E42C","2","2","008","15716","","31C111","0","000000","0","2","0","0","0","06","46","","","1","6","","1","","","","68","","2019","0","0","0","0","0","0","LINCOLN","111","00","00","","N","OTH","000-000-000","YNP32R-24, DERAILED RAILCAR SSW80501 WHILE SHOVING  IN WEST BOWL 24.","","","","","","","","","","","","","","","3","41.151705","-100.818203","2","5","L","","","NORTH PLATTE TERMINA",
"19","03","UP","0319GP047","","","","","19","03","ZIUM","INDUSTRY","","","19","03","25","3","35","PM","01","0","0","0","0","","HASTINGS","3.0","31","47","2","2","004","R","LFB4","4","5141","1","Y","INDUSTRY 828","1","","4","UTLX","302390","035","Y","","","000","","2","2","0","0","0","0","0","0","0","0","35","0","0","0","0","3","0","0","0","0","23392","7384","T099","","0","0","0","0","T099","4","1","004","30776","","31C001","0","000000","0","1","0","1","1","08","35","08","35","1","6","","1","","","","128","","2019","0","0","0","0","0","0","ADAMS","001","","","","N","OTH","000-000-000","LFB46-25 WAS SHOVING INTO INDUSTRY AT 4 MPH AND RAIL ROLLED UNDER CARS DERAILING 3 REAR CARS OF SHOV","E.  INDUSTRY MAINTAINS TRACK","","","","","","","","","","","","","","0","40.571949","-98.309495","2","5","K","L","","HASTINGS UTILITY LD",
"19","03","UP","0319GP008","","","","","19","03","UP","0319GP008","","","19","03","05","1","30","AM","01","0","0","0","0","","NORTH PLATTE","285.21","31","-4","4","1","010","E","YNP8","3","10267","7","Y","YARD 142","2","","2","UPY","000340","001","","","","000","","2","0","0","0","0","2","0","0","0","0","94","0","4","0","0","2","0","0","0","0","23548","29056","H607","","0","0","0","0","H607","2","2","010","52604","","31C111","0","000000","0","1","0","1","1","09","31","09","31","1","6","","1","","","","349","","2019","0","0","0","0","0","0","LINCOLN","111","00","00","","N","OTH","000-000-000","YNP83R-04 WAS PULLING EAST ON THE NORTH PULLBACK.  THE TRIM TOWER PILOT TOLD THE ENGINEER TO STOP.","THE ENGINEER, CALLED BACK SHORTLY AFTERWARDS SAYING HE WAS OVER THE ROCK PILE ON THE PULLBACK.  THER","E WERE 2 LOCOMOTIVES AND 2 LOADED AUTO RACKS OVER THE END OF TRACK, WITH THE HEAD END FOULING THE SO","UTH BELT TRACK - 400' PAST THE END OF TRACK SIGN.","","","","","","","","","","","","0","41.143189","-100.780167","2","5","K","","","NORTH PLATTE TERMINA",
"19","03","UP","0319GP009","","","","","19","03","UP","0319GP009","","","19","03","05","1","31","PM","01","0","0","0","0","","OSHKOSH","76.43","31","28","2","1","023","R","CNAC","3","18590","1","Y","MAIN LINE 1","3","25.6","1","CTRN","500335","070","Y","","","000","","4","0","0","0","1","0","0","0","0","0","130","0","0","0","0","22","0","0","0","0","1202510","214682","T105","T102","0","0","0","0","T105","1","3","023","1417192","","31C069","0","000000","0","1","0","1","0","07","31","07","31","1","6","","1","","","","155","","2019","0","0","0","0","0","0","GARDEN","069","","00","","N","CWR","000-000-000","CNACO-02 TRAVELING EAST ON MAIN TRACK ONE AT MP75.86 DERAILED 22 CARS DUE TO INSUFFICIENT BALLAST WI","TH A SECONDARY CAUSE OF CROSS LEVEL OF TRACK IRREGULAR.","","","","","","","","","","","","","","0","41.439669","-102.444047","1","1","J","Q","","SOUTH MORRILL SUB",
"19","03","UP","0319GP002","","","","","19","03","UP","0319GP002","","","19","03","03","11","18","PM","01","0","0","0","0","","OSHKOSH","76.5","31","-15","4","1","040","E","2CBT","3","19305","1","Y","MAIN LINE 2","3","136.3","1","UCEX","096076","057","Y","","","000","","2","0","0","1","0","0","0","0","0","0","135","0","0","0","0","35","0","0","0","0","1729168","225700","T207","","0","0","0","0","T207","1","3","040","1954868","","31C069","0","000000","0","1","0","1","0","03","33","03","33","1","6","","1","","","","62","","2019","0","0","0","0","0","0","GARDEN","069","","00","","N","CWR","000-000-000","2CBTWL9-03 DERAILED 35 LOADED COAL HOPPERS DUE TO BROKEN RAIL.","","","","","","","","","","","","","","","0","41.440028","-102.445295","1","1","J","","","SOUTH MORRILL SUB",
"19","03","UP","0319GP006","","","","","19","03","UP","0319GP006","","","19","03","04","4","11","PM","12","0","0","0","0","","NORTH PLATTE","288.0","31","14","2","1","004","E","YNP0","3","2858","7","Y","YARD 109","2","","2","TTZX","084755","050","N","","","000","","2","0","0","0","0","0","0","0","0","0","26","0","22","0","0","0","0","4","0","0","2051","15482","M411","H312","0","0","0","0","M411","2","2","004","18025","","31C111","0","000000","0","2","0","0","0","08","12","","","3","6","","1","","","","104","","2019","0","0","0","0","0","0","LINCOLN","111","00","00","","N","OTH","000-000-000","YNP06R-04, BYPASSED COUPLERS BETWEEN THE TTZX84755 AND THE CRYX5011, CAUSING THE DERAILMENT OF SIX C","ARS.","","","","","","","","","","","","","","3","41.147688","-100.833722","2","5","","","","NORTH PLATTE TERMINA",
